name,solution
C0000001,0
C0000002,0
C0000003,0
C0000004,0
C0000005,0
C0000006,0
C0000007,0
C0000008,0
C0000009,0
C0000010,0
C0000011,0
C0000012,0
C0000013,0
C0000014,1
C0000015,0
C0000016,2
C0000017,0
C0000018,3
C0000019,0
C0000020,4
C0000021,0
C0000022,0
C0000023,0
C0000024,0
C0000025,6
C0000026,2
C0000027,2
C0000028,2
C0000029,0
C0000030,0
C0000031,0
C0000032,107
C0000033,0
C0000034,0
C0000035,0
C0000036,3
C0000037,0
C0000038,0
C0000039,0
C0000040,1
C0000041,0
C0000042,0
C0000043,0
C0000044,0
C0000045,6
C0000046,2
C0000047,2
C0000048,2
C0000049,0
C0000050,0
C0000051,0
C0000052,107
C0000053,0
C0000054,0
C0000055,0
C0000056,3
C0000057,0
C0000058,0
C0000059,0
C0000060,1
C0000061,0
C0000062,0
C0000063,0
C0000064,0
C0000065,6
C0000066,2
C0000067,2
C0000068,2
C0000069,0
C0000070,0
C0000071,0
C0000072,107
C0000073,0
C0000074,0
C0000075,0
C0000076,3
C0000077,0
C0000078,0
C0000079,0
C0000080,1
C0000081,0
C0000082,0
C0000083,0
C0000084,0
C0000085,6
C0000086,2
C0000087,2
C0000088,2
C0000089,0
C0000090,0
C0000091,0
C0000092,107
C0000093,0
C0000094,0
C0000095,0
C0000096,3
C0000097,0
C0000098,0
C0000099,0
C0000100,1
C0000101,0
C0000102,0
C0000103,0
C0000104,0
C0000105,6
C0000106,2
C0000107,2
C0000108,2
C0000109,0
C0000110,0
C0000111,0
C0000112,107
C0000113,0
C0000114,0
C0000115,0
C0000116,3
C0000117,0
C0000118,0
C0000119,0
C0000120,1
C0000121,0
C0000122,0
C0000123,0
C0000124,0
C0000125,0
C0000126,0
C0000127,0
C0000128,0
C0000129,0
C0000130,0
C0000131,6
C0000132,2
C0000133,2
C0000134,2
C0000135,0
C0000136,0
C0000137,0
C0000138,107
C0000139,0
C0000140,0
C0000141,0
C0000142,3
C0000143,0
C0000144,0
C0000145,0
C0000146,1
C0000147,0
C0000148,0
C0000149,0
C0000150,0
C0000151,6
C0000152,2
C0000153,2
C0000154,2
C0000155,0
C0000156,0
C0000157,0
C0000158,107
C0000159,0
C0000160,0
C0000161,0
C0000162,3
C0000163,0
